"Pipoca, com óleo de soja, sem sal",448,9.9,15.9,NA,70.3,14.3,1.2,4,Tr,3
"Polenta, pré-cozida",103,2.3,0.3,NA,23.3,2.4,Tr,442,Tr,1
"Torrada, pão francês",377,10.5,3.3,NA,74.6,3.4,1.2,829,Tr,19
"Abóbora, cabotian, cozida",48,1.4,0.7,NA,10.8,2.5,0.3,1,7.5,8
"Abóbora, cabotian, crua",39,1.7,0.5,NA,8.4,2.2,0.4,Tr,5.1,18
"Abóbora, menina brasileira, crua",14,0.6,Tr,NA,3.3,1.2,0.2,Tr,1.5,9
"Abóbora, moranga, crua",12,1,0.1,NA,2.7,1.7,Tr,Tr,9.6,3
"Abóbora, moranga, refogada",29,0.4,0.8,NA,6,1.5,0.1,3,6.7,19
"Abóbora, pescoço, crua",24,0.7,0.1,NA,6.1,2.3,0.3,1,2.1,9
"Abobrinha, italiana, cozida",15,1.1,0.2,NA,3,1.6,0.2,1,2.1,17
"Abobrinha, italiana, crua",19,1.1,0.1,NA,4.3,1.4,0.2,Tr,6.9,15
"Abobrinha, italiana, refogada",24,1.1,0.8,NA,4.2,1.4,0.4,2,7.5,21
"Abobrinha, paulista, crua",31,0.6,0.1,NA,7.9,2.6,0.2,1,17.5,19
"Acelga, crua",21,1.4,0.1,NA,4.6,1.1,0.3,1,22.6,43
"Agrião, cru",17,2.7,0.2,NA,2.3,2.1,3.1,7,60.1,133
"Aipo, cru",19,0.8,0.1,NA,4.3,1,0.7,10,5.9,65
"Alface, americana, crua",9,0.6,0.1,NA,1.7,1,0.3,7,11,14
"Alface, crespa, crua",11,1.3,0.2,NA,1.7,1.8,0.4,3,15.6,38
"Alface, lisa, crua",14,1.7,0.1,NA,2.4,2.3,0.6,4,21.4,28
"Alface, roxa, crua",13,0.9,0.2,NA,2.5,2,2.5,7,13.5,34
"Alfavaca, crua",29,2.7,0.5,NA,5.2,4.1,1.3,5,Tr,258
"Alho, cru",113,7,0.2,NA,23.9,4.3,0.8,5,*,14
"Alho-poró, cru",32,1.4,0.1,NA,6.9,2.5,0.6,2,14.1,34
"Almeirão, cru",18,1.8,0.2,NA,3.3,2.6,0.7,2,1.7,19
"Almeirão, refogado",65,1.7,4.8,NA,5.7,3.4,1.6,15,1.5,63
"Batata, baroa, cozida",80,0.9,0.2,NA,18.9,1.8,0.4,2,17.1,12
"Batata, baroa, crua",101,1,0.2,NA,24,2.1,0.3,Tr,7.6,17
"Batata, doce, cozida",77,0.6,0.1,NA,18.4,2.2,0.2,3,23.8,17
"Batata, doce, crua",118,1.3,0.1,NA,28.2,2.6,0.4,9,16.5,21
"Batata, frita, tipo chips, industrializada",543,5.6,36.6,NA,51.2,2.5,0.7,607,Tr,12
"Batata, inglesa, cozida",52,1.2,Tr,NA,11.9,1.3,0.2,2,3.8,4
"Batata, inglesa, crua",64,1.8,Tr,NA,14.7,1.2,0.4,Tr,31.1,4
"Batata, inglesa, frita",267,5,13.1,NA,35.6,8.1,0.4,2,16.3,6
"Batata, inglesa, sauté",68,1.3,0.9,NA,14.1,1.4,0.3,8,Tr,4
"Berinjela, cozida",19,0.7,0.1,NA,4.5,2.5,0.2,1,Tr,11
"Berinjela, crua",20,1.2,0.1,NA,4.4,2.9,0.2,Tr,3,9
"Beterraba, cozida",32,1.3,0.1,NA,7.2,1.9,0.2,23,1.2,15
"Beterraba, crua",49,1.9,0.1,NA,11.1,3.4,0.3,10,3.1,18
"Biscoito, polvilho doce",438,1.3,12.2,9,80.5,1.2,1.8,98,Tr,30
"Brócolis, cozido",25,2.1,0.5,NA,4.4,3.4,0.5,2,42,51
"Brócolis, cru",25,3.6,0.3,NA,4,2.9,0.6,3,34.3,86
"Cará, cozido",78,1.5,0.1,NA,18.9,2.6,0.3,1,Tr,5
"Cará, cru",96,2.3,0.1,NA,23,7.3,0.2,Tr,8.8,4
"Caruru, cru",34,3.2,0.6,NA,6,4.5,4.5,14,5.4,455
"Catalonha, crua",24,1.9,0.3,NA,4.8,2,3.1,9,7.3,57
"Catalonha, refogada",63,2,4.8,NA,4.8,3.7,1.2,25,Tr,63
"Cebola, crua",39,1.7,0.1,NA,8.9,2.2,0.2,1,4.7,14
"Cebolinha, crua",20,1.9,0.4,NA,3.4,3.6,0.6,2,31.8,80
"Cenoura, cozida",30,0.8,0.2,NA,6.7,2.6,0.1,8,Tr,26
"Cenoura, crua",34,1.3,0.2,NA,7.7,3.2,0.2,3,5.1,23
"Chicória, crua",14,1.1,0.1,NA,2.9,2.2,0.5,14,6.5,45
"Chuchu, cozido",19,0.4,Tr,NA,4.8,1,0.1,2,5.6,8
"Chuchu, cru",17,0.7,0.1,NA,4.1,1.3,0.2,Tr,10.6,12
"Coentro, folhas desidratadas",309,20.9,10.4,NA,48,37.3,81.4,18,40.8,784
"Couve, manteiga, crua",27,2.9,0.5,NA,4.3,3.1,0.5,6,96.7,131
"Couve, manteiga, refogada ",90,1.7,6.6,NA,8.7,5.7,0.5,11,76.9,177
"Couve-flor, crua",23,1.9,0.2,NA,4.5,2.4,0.5,3,36.1,18
"Couve-flor, cozida",19,1.2,0.3,NA,3.9,2.1,0.1,2,23.7,16
"Espinafre, Nova Zelândia, cru",16,2,0.2,NA,2.6,2.1,0.4,17,2.4,98
"Espinafre, Nova Zelândia, refogado",67,2.7,5.4,NA,4.2,2.5,0.6,47,5.3,112
"Farinha, de mandioca, crua",361,1.6,0.3,NA,87.9,6.4,1.1,1,Tr,65
"Farinha, de mandioca, torrada",365,1.2,0.3,NA,89.2,6.5,1.2,10,Tr,76
"Farinha, de puba",360,1.6,0.5,NA,87.3,4.2,1.4,4,Tr,41
"Fécula, de mandioca",331,0.5,0.3,NA,81.1,0.6,0.1,2,Tr,12
"Feijão, broto, cru",39,4.2,0.1,NA,7.8,2,0.8,2,12,14
"Inhame, cru",97,2.1,0.2,NA,23.2,1.7,0.4,Tr,5.6,12
"Jiló, cru",27,1.4,0.2,NA,6.2,4.8,0.3,Tr,6.8,20
"Jurubeba, crua",126,4.4,3.9,NA,23.1,23.9,0.9,1,13.8,151
"Mandioca, cozida",125,0.6,0.3,NA,30.1,1.6,0.1,1,11.1,19
"Mandioca, crua",151,1.1,0.3,NA,36.2,1.9,0.3,2,16.5,15
"Mandioca, farofa, temperada",406,2.1,9.1,NA,80.3,7.8,1.4,575,Tr,66
"Mandioca, frita",300,1.4,11.2,NA,50.3,1.9,0.3,9,Tr,23
"Manjericão, cru",21,2,0.4,NA,3.6,3.3,1,4,2.3,211
"Maxixe, cru",14,1.4,0.1,NA,2.7,2.2,0.4,11,9.6,21
"Mostarda, folha, crua",18,2.1,0.2,NA,3.2,1.9,1.1,3,38.6,68
"Nhoque, batata, cozido",181,5.9,1.9,15,36.8,1.8,1.6,7,Tr,11
"Nabo, cru",18,1.2,0.1,NA,4.1,2.6,0.2,2,9.6,42
"Palmito, juçara, em conserva",23,1.8,0.4,NA,4.3,3.2,0.3,514,2,58
"Palmito, pupunha, em conserva",29,2.5,0.5,NA,5.5,2.6,0.2,563,8.7,32
"Pão, de queijo, assado",363,5.1,24.6,68,34.2,0.6,0.3,773, ,102
"Pão, de queijo, cru",295,3.6,14,63,38.5,1,0.3,405, ,88
"Pepino, cru",10,0.9,Tr,NA,2,1.1,0.1,Tr,5,10
"Pimentão, amarelo, cru",28,1.2,0.4,NA,6,1.9,0.4,Tr,201.4,10
"Pimentão, verde, cru",21,1.1,0.2,NA,4.9,2.6,0.4,Tr,100.2,9
"Pimentão, vermelho, cru",23,1,0.1,NA,5.5,1.6,0.3,Tr,158.2,6
"Polvilho, doce",351,0.4,Tr,NA,86.8,0.2,0.5,2,Tr,27
"Quiabo, cru",30,1.9,0.3,NA,6.4,4.6,0.4,1,5.6,112
"Rabanete, cru",14,1.4,0.1,NA,2.7,2.2,0.4,11,9.6,21
"Repolho, branco, cru",17,0.9,0.1,NA,3.9,1.9,0.2,4,18.7,35
"Repolho, roxo, cru",31,1.9,0.1,NA,7.2,2,0.5,2,43.2,44
"Repolho, roxo, refogado",42,1.8,1.2,NA,7.6,1.8,0.5,3,40.5,43
"Rúcula, crua",13,1.8,0.1,NA,2.2,1.7,0.9,9,46.3,117
"Salsa, crua",33,3.3,0.6,NA,5.7,1.9,3.2,2,51.7,179
"Seleta de legumes, enlatada",57,3.4,0.4,NA,12.7,3.1,1.1,398,Tr,16
"Serralha, crua",30,2.7,0.7,NA,4.9,3.5,1.3,19,1.5,126
"Taioba, crua",34,2.9,0.9,NA,5.4,4.5,1.9,1,17.9,141
"Tomate, com semente, cru",15,1.1,0.2,NA,3.1,1.2,0.2,1,21.2,7
"Tomate, extrato",61,2.4,0.2,NA,15,2.8,2.1,498,18,29
"Tomate, molho industrializado",38,1.4,0.9,NA,7.7,3.1,1.6,418,2.7,12
"Tomate, purê",28,1.4,Tr,NA,6.9,1,1.3,104,5.4,13
"Tomate, salada",21,0.8,Tr,NA,5.1,2.3,0.3,5,12.8,7
"Vagem, crua",25,1.8,0.2,NA,5.3,2.4,0.4,Tr,1.2,41
"Abacate, cru",96,1.2,8.4,NA,6,6.3,0.2,Tr,8.7,8
"Abacaxi, cru",48,0.9,0.1,NA,12.3,1,0.3,Tr,34.6,22
"Abacaxi, polpa, congelada",31,0.5,0.1,NA,7.8,0.3,0.4,1,1.2,14
"Abiu, cru",62,0.8,0.7,NA,14.9,1.7,0.2,Tr,10.3,6
"Açaí, polpa, com xarope de guaraná e glucose",110,0.7,3.7,NA,21.5,1.7,0.3,15,10.3,22
"Açaí, polpa, congelada",58,0.8,3.9,NA,6.2,2.6,0.4,5,Tr,35
"Acerola, crua",33,0.9,0.2,NA,8,1.5,0.2,Tr,941.4,13
"Acerola, polpa, congelada",22,0.6,Tr,NA,5.5,0.7,0.2,1,623.2,8
"Ameixa, calda, enlatada ",183,0.4,Tr,NA,46.9,0.5,2.2,3,4.3,13
"Ameixa, crua",53,0.8,Tr,NA,13.9,2.4,0.1,Tr,7.6,6
"Ameixa, em calda, enlatada, drenada ",177,1,0.3,NA,47.7,4.5,2.7,3,5.2,39
"Atemóia, crua",97,1,0.3,NA,25.3,2.1,0.2,1,10.1,23
"Banana, da terra, crua",128,1.4,0.2,NA,33.7,1.5,0.3,Tr,15.7,4
"Banana, doce em barra",280,2.2,0.1,NA,75.7,3.8,0.6,10,Tr,12
"Banana, figo, crua",105,1.1,0.1,NA,27.8,2.8,0.2,Tr,17.5,6
"Banana, maçã, crua",87,1.8,0.1,NA,22.3,2.6,0.2,Tr,10.5,3
"Banana, nanica, crua",92,1.4,0.1,NA,23.8,1.9,0.3,Tr,5.9,3
"Banana, ouro, crua",112,1.5,0.2,NA,29.3,2,0.3,Tr,7.6,3
"Banana, pacova, crua",78,1.2,0.1,NA,20.3,2,0.4,1,Tr,5
"Banana, prata, crua",98,1.3,0.1,NA,26,2,0.4,Tr,21.6,8
"Cacau, cru",74,1,0.1,NA,19.4,2.2,0.3,1,13.6,12
"Cajá-Manga, cru",46,1.3,Tr,NA,11.4,2.6,0.2,1,26.7,13
"Cajá, polpa, congelada",26,0.6,0.2,NA,6.4,1.4,0.3,7,Tr,9
"Caju, cru",43,1,0.3,NA,10.3,1.7,0.2,3,219.3,1
"Caju, polpa, congelada",37,0.5,0.2,NA,9.4,0.8,0.1,4,119.7,1
"Caju, suco concentrado, envasado",45,0.4,0.2,NA,10.7,0.6,0.1,45,138.7,1
"Caqui, chocolate, cru",71,0.4,0.1,NA,19.3,6.5,0.1,2,29.6,18
"Carambola, crua",46,0.9,0.2,NA,11.5,2,0.2,4,60.9,5
"Ciriguela, crua",76,1.4,0.4,NA,18.9,3.9,0.4,2,27,27
"Cupuaçu, cru",49,1.2,1,NA,10.4,3.1,0.5,3,24.5,13
"Cupuaçu, polpa, congelada",49,0.8,0.6,NA,11.4,1.6,0.3,1,10.5,5
"Figo, cru",41,1,0.2,NA,10.2,1.8,0.2,Tr,0.8,27
"Figo, enlatado, em calda",184,0.6,0.2,NA,50.3,2,0.5,7,5.2,33
"Fruta-pão, crua",67,1.1,0.2,NA,17.2,5.5,0.2,1,9.9,34
"Goiaba, branca, com casca, crua",52,0.9,0.5,NA,12.4,6.3,0.2,Tr,99.2,5
"Goiaba, doce em pasta",269,0.6,0,NA,74.1,3.7,0.4,4,23.1,10
"Goiaba, doce, cascão",286,0.4,0.1,NA,78.7,4.4,0.4,11,34.3,15
"Goiaba, vermelha, com casca, crua",54,1.1,0.4,NA,13,6.2,0.2,Tr,80.6,4
"Graviola, crua",62,0.8,0.2,NA,15.8,1.9,0.2,4,19.1,40
"Graviola, polpa, congelada",38,0.6,0.1,NA,9.8,1.2,0.1,3,10.5,6
"Jabuticaba, crua",58,0.6,0.1,NA,15.3,2.3,0.1,Tr,16.2,8
"Jaca, crua",88,1.4,0.3,NA,22.5,2.4,0.4,2,14.8,11
"Jambo, cru",27,0.9,0.1,NA,6.5,5.1,0.1,22,3.8,14
"Jamelão, cru",41,0.5,0.1,NA,10.6,1.8,0,1,27.1,3
"Kiwi, cru",51,1.3,0.6,NA,11.5,2.7,0.3,Tr,70.8,24
"Laranja, baía, crua",45,1,0.1,NA,11.5,1.1,0.1,Tr,56.9,35
"Laranja, baía, suco",37,0.7,Tr,NA,8.7,Tr,0.1,Tr,94.5,6
"Laranja, da terra, crua",51,1.1,0.2,NA,12.9,4,0.1,1,34.7,51
"Laranja, da terra, suco",41,0.7,0.1,NA,9.6,1,0.1,Tr,44.3,13
"Laranja, lima, crua",46,1.1,0.1,NA,11.5,1.8,0.1,1,43.5,31
"Laranja, lima, suco",39,0.7,0.1,NA,9.2,0.4,Tr,Tr,41.3,8
"Laranja, pêra, crua",37,1,0.1,NA,8.9,0.8,0.1,Tr,53.7,22
"Laranja, pêra, suco",33,0.7,0.1,NA,7.6,Tr,Tr,Tr,73.3,7
"Laranja, valência, crua",46,0.8,0.2,NA,11.7,1.7,0.1,1,47.8,34
"Laranja, valência, suco",36,0.5,0.1,NA,8.6,0.4,Tr,Tr,*,9
"Limão, cravo, suco",14,0.3,Tr,NA,5.2,Tr,0.1,Tr,32.8,10
"Limão, galego, suco",22,0.6,0.1,NA,7.3,Tr,0.1,Tr,34.5,5
"Limão, tahiti, cru",32,0.9,0.1,NA,11.1,1.2,0.2,1,38.2,51
"Maçã, Argentina, com casca, crua",63,0.2,0.2,NA,16.6,2,0.1,1,1.5,3
"Maçã, Fuji, com casca, crua",56,0.3,Tr,NA,15.2,1.3,0.1,Tr,2.4,2
"Macaúba, crua",404,2.1,40.7,NA,13.9,13.4,0.8,1,13.4,67
" Mamão, doce em calda, drenado",196,0.2,0.1,NA,54,1.3,0.1,3,3.9,20
"Mamão, Formosa, cru",45,0.8,0.1,NA,11.6,1.8,0.2,3,78.5,25
"Mamão, Papaia, cru",40,0.5,0.1,NA,10.4,1,0.2,2,82.2,22
" Mamão verde, doce em calda, drenado",209,0.3,0.1,NA,57.6,1.2,0.2,5,Tr,12
"Manga, Haden, crua",64,0.4,0.3,NA,16.7,1.6,0.1,1,17.4,12
"Manga, Palmer, crua",72,0.4,0.2,NA,19.4,1.6,0.1,2,65.5,12
"Manga, polpa, congelada",48,0.4,0.2,NA,12.5,1.1,0.1,7,24.9,7
"Manga, Tommy Atkins, crua",51,0.9,0.2,NA,12.8,2.1,0.1,Tr,7.9,8
"Maracujá, cru",68,2,2.1,NA,12.3,1.1,0.6,2,19.8,5
"Maracujá, polpa, congelada",39,0.8,0.2,NA,9.6,0.5,0.3,8,7.3,5
"Maracujá, suco concentrado, envasado",42,0.8,0.2,NA,9.6,0.4,0.3,22,13.7,4
"Melancia, crua",33,0.9,Tr,NA,8.1,0.1,0.2,Tr,6.1,8
"Melão, cru",29,0.7,Tr,NA,7.5,0.3,0.2,11,8.7,3
"Mexerica, Murcote, crua",58,0.9,0.1,NA,14.9,3.1,0.1,1,21.8,33
"Mexerica, Rio, crua",37,0.7,0.1,NA,9.3,2.7,0.1,2,112,17
"Morango, cru",30,0.9,0.3,NA,6.8,1.7,0.3,Tr,63.6,11
"Nêspera, crua",43,0.3,Tr,NA,11.5,3,0.1,Tr,3.2,20
"Pequi, cru",205,2.3,18,NA,13,19,0.3,Tr,8.3,32
"Pêra, Park, crua",61,0.2,0.2,NA,16.1,3,0.3,1,2.4,9
"Pêra, Williams, crua",53,0.6,0.1,NA,14,3,0.1,Tr,2.8,8
"Pêssego, Aurora, cru",36,0.8,Tr,NA,9.3,1.4,0.2,Tr,3.3,3
"Pêssego, enlatado, em calda",63,0.7,Tr,NA,16.9,1,0.6,3,Tr,4
"Pinha, crua",88,1.5,0.3,NA,22.4,3.4,0.2,1,35.9,21
"Pitanga, crua",41,0.9,0.2,NA,10.2,3.2,0.4,2,24.9,18
"Pitanga, polpa, congelada",19,0.3,0.1,NA,4.8,0.7,0.4,5,Tr,8
"Romã, crua",56,0.4,Tr,NA,15.1,0.4,0.3,1,8.1,5
"Tamarindo, cru",276,3.2,0.5,NA,72.5,6.4,0.6,0,7.2,37
"Tangerina, Poncã, crua",38,0.8,0.1,NA,9.6,0.9,0.1,Tr,48.8,13
"Tangerina, Poncã, suco",36,0.5,Tr,NA,8.8,Tr,Tr,Tr,41.8,4
"Tucumã, cru",262,2.1,19.1,NA,26.5,12.7,0.6,4,18,46
"Umbu, cru",37,0.8,Tr,NA,9.4,2,0.1,Tr,24.1,12
"Umbu, polpa, congelada",34,0.5,0.1,NA,8.8,1.3,0.2,6,4,11
"Uva, Itália, crua",53,0.7,0.2,NA,13.6,0.9,0.1,Tr,3.3,7
"Uva, Rubi, crua",49,0.6,0.2,NA,12.7,0.9,0.2,8,1.9,8
"Uva, suco concentrado, envasado",58,Tr,Tr,NA,14.7,0.2,0.1,10,21,9
"Azeite, de dendê",884,NA,100,NA,NA,NA,,,,
"Azeite, de oliva, extra virgem",884,NA,100,NA,NA,NA,,,,
"Manteiga, com sal",726,0.4,82.4,201,0.1,NA,0.2,579,Tr,9
"Manteiga, sem sal",758,0.4,86,214,0,NA,Tr,4,Tr,4
"Margarina, com óleo hidrogenado, com sal (65% de lipídeos)",596,Tr,67.4,NA,0,NA,0.1,894,Tr,6
"Margarina, com óleo hidrogenado, sem sal (80% de lipídeos)",723,Tr,81.7,NA,0,NA,0.1,78,Tr,3
"Margarina, com óleo interesterificado, com sal (65%de lipídeos)",594,Tr,67.2,NA,0,NA,Tr,561,Tr,5
"Margarina, com óleo interesterificado, sem sal (65% de lipídeos)",593,Tr,67.1,NA,0,NA,0.1,33,Tr,5
"Óleo, de babaçu",884,NA,100,NA,NA,NA,,,,
"Óleo, de canola",884,NA,100,NA,NA,NA,,,,
"Óleo, de girassol",884,NA,100,NA,NA,NA,,,,
"Óleo, de milho",884,NA,100,NA,NA,NA,,,,
"Óleo, de pequi",884,NA,100,NA,NA,NA,,,,
"Óleo, de soja",884,NA,100,NA,NA,NA,,,,
"Abadejo, filé, congelado, assado",112,23.5,1.2,103,0,NA,0.5,334,,23
"Abadejo, filé, congelado,cozido",91,19.3,0.9,87,0,NA,0.3,189,,17
"Abadejo, filé, congelado, cru",59,13.1,0.4,31,0,NA,0.1,79,,10
"Abadejo, filé, congelado, grelhado",130,27.6,1.3,136,0,NA,0.3,305,,20
"Atum, conserva em óleo",166,26.2,6,53,0,NA,1.2,362,,7
"Atum, fresco, cru",118,25.7,0.9,48,0,NA,1.3,30,,7
"Bacalhau, salgado, cru",136,29,1.3,139,0,NA,0.9,13585,,157
"Bacalhau, salgado, refogado",140,24,3.6,112,1.2,*,0.2,1256,Tr,59
"Cação, posta, com farinha de trigo, frita",208,25,10,75,3.1,0.5,1,160,,30
"Cação, posta, cozida",116,25.6,0.7,83,0,NA,0.3,115,,10
"Cação, posta, crua",83,17.9,0.8,36,0,NA,0.2,176,,9
"Camarão, Rio Grande, grande, cozido",90,19,1,241,0,NA,1.3,367,,90
"Camarão, Rio Grande, grande, cru",47,10,0.5,124,0,NA,0.7,201,,51
"Camarão, Sete Barbas, sem cabeça, com casca, frito",231,18.4,15.6,283,2.9,NA,2.4,99,,960
"Caranguejo, cozido",83,18.5,0.4,85,0,NA,2.9,360,Tr,357
"Corimba, cru",128,17.4,6,40,0,NA,0.5,47,,40
"Corimbatá, assado",261,19.9,19.6,80,0,NA,1,40,,22
"Corimbatá, cozido",239,20.1,16.9,75,0,NA,0.6,37,,65
"Corvina de água doce, crua",101,18.9,2.2,73,0,NA,0.3,45,,39
"Corvina do mar, crua",94,18.6,1.6,67,0,NA,0.4,68,,*
"Corvina grande, assada",147,26.8,3.6,117,0,NA,0.5,85,,60
"Corvina grande, cozida",100,23.4,2.6,123,0,NA,0.6,68,,69
"Dourada de água doce, fresca",131,18.8,5.6,52,0,NA,0.2,40,,12
"Lambari, congelado, cru",131,16.8,6.5,159,0,NA,0.9,48,,1181
"Lambari, congelado, frito",327,28.4,22.8,246,0,NA,0.8,65,,1881
"Lambari, fresco, cru",152,15.7,9.4,144,0,NA,0.6,41,,590
"Manjuba, com farinha de trigo, frita",344,23.5,22.6,282,10.2,0.4,3,37,,763
"Manjuba, frita",349,30.1,24.5,270,0,NA,0.9,41,,575
"Merluza, filé, assado",122,26.6,0.9,91,0,NA,0.4,120,,36
"Merluza, filé, cru",89,16.6,2,57,0,NA,0.2,80,,20
"Merluza, filé, frito",192,26.9,8.5,109,0,NA,0.4,90,,36
"Pescada, branca, crua",111,16.3,4.6,51,0,NA,0.2,76,,16
"Pescada, branca, frita",223,27.4,11.8,165,0,NA,0.5,107,,378
"Pescada, filé, com farinha de trigo, frito",283,21.4,19.1,73,5,Tr,0.9,91,,26
"Pescada, filé, cru",107,16.7,4,65,0,NA,0.2,77,,14
"Pescada, filé, frito",154,28.6,3.6,81,0,NA,0.3,115,,10
"Pescada, filé, molho escabeche",142,11.8,8,43,5,0.8,1.5,51,6.9,20
"Pescadinha, crua",76,15.5,1.1,84,0,NA,0.5,120,,332
"Pintado, assado",192,36.5,4,126,0,NA,0.8,81,,114
"Pintado, cru",91,18.6,1.3,50,0,NA,0.2,43,,12
"Pintado, grelhado",152,30.8,2.3,99,0,NA,0.5,53,,69
"Porquinho, cru",93,20.5,0.6,49,0,NA,0.4,67,,26
"Salmão, filé, com pele, fresco,  grelhado",229,23.9,14,85,0,NA,0.5,85,,29
